Lon,Lat,Elev,ampli47
6.05,46.775,0,0.47
6.05,46.8,0,1.11
6.05,46.825,0,0.96
6.05,46.85,0,0.96
6.05,46.875,0,0.96
6.05,46.9,0,0.96
6.05,46.925,0,0.47
6.05,46.95,0,0.96
6.05,46.975,0,0.96
6.05,47,0,0.96
6.05,47.025,0,0.96
6.05,47.05,0,0.96
6.05,47.075,0,0.47
6.05,47.1,0,0.96
6.05,47.125,0,0.96
6.05,47.15,0,0.47
6.05,47.175,0,0.47
6.05,47.2,0,0.47
6.05,47.225,0,0.96
6.05,47.25,0,0.47
6.05,47.275,0,0.47
6.05,47.3,0,0.47
6.05,47.325,0,0.47
6.05,47.35,0,0.88
6.05,47.375,0,0.96
6.05,47.4,0,0.96
6.05,47.425,0,1.19
6.05,47.45,0,0.94
6.05,47.475,0,0.94
6.05,47.5,0,0.94
6.05,47.525,0,0.94
6.05,47.55,0,0.94
6.05,47.575,0,0.94
6.05,47.6,0,0.96
6.05,47.625,0,0.88
6.05,47.65,0,0.96
6.05,47.675,0,0.96
6.05,47.7,0,0.94
6.05,47.725,0,0.88
6.05,47.75,0,0.88
6.05,47.775,0,0.88
6.05,47.8,0,0.47
6.075,45.8,0,0.93
6.075,45.825,0,0.86
6.075,45.85,0,0.86
6.075,45.875,0,0.86
6.075,45.9,0,1.05
6.075,45.925,0,0.86
6.075,45.95,0,0.86
6.075,45.975,0,1.11
6.075,46,0,0.86
6.075,46.025,0,1.05
6.075,46.05,0,0.86
6.075,46.075,0,0.86
6.075,46.1,0,0.86
6.075,46.125,0,0.86
6.075,46.15,0,0.94
6.075,46.175,0,0.86
6.075,46.2,0,0.88
6.075,46.225,0,0.94
6.075,46.25,0,1.05
6.075,46.275,0,0.86
6.075,46.3,0,0.86
6.075,46.325,0,0.94
6.075,46.35,0,0.86
6.075,46.375,0,0.96
6.075,46.4,0,0.96
6.075,46.425,0,0.96
6.075,46.45,0,0.96
6.075,46.475,0,1.11
6.075,46.5,0,0.86
6.075,46.525,0,0.96
6.075,46.55,0,0.96
6.075,46.575,0,0.96
6.075,46.6,0,0.96
6.075,46.625,0,0.96
6.075,46.65,0,1.11
6.075,46.675,0,0.96
6.075,46.7,0,0.96
6.075,46.725,0,0.47
6.075,46.75,0,0.96
6.075,46.775,0,0.47
6.075,46.8,0,0.47
6.075,46.825,0,0.96
6.075,46.85,0,0.96
6.075,46.875,0,0.96
6.075,46.9,0,0.96
6.075,46.925,0,0.96
6.075,46.95,0,0.96
6.075,46.975,0,0.96
6.075,47,0,0.96
6.075,47.025,0,0.96
6.075,47.05,0,0.96
6.075,47.075,0,0.96
6.075,47.1,0,0.47
6.075,47.125,0,0.47
6.075,47.15,0,0.47
6.075,47.175,0,0.47
6.075,47.2,0,1.19
6.075,47.225,0,0.96
6.075,47.25,0,0.96
6.075,47.275,0,0.47
6.075,47.3,0,0.47
6.075,47.325,0,0.47
6.075,47.35,0,0.96
6.075,47.375,0,0.47
6.075,47.4,0,0.96
6.075,47.425,0,0.96
6.075,47.45,0,0.96
6.075,47.475,0,0.94
6.075,47.5,0,0.94
6.075,47.525,0,0.94
6.075,47.55,0,0.94
6.075,47.575,0,0.94
